Category,Headline,SubHeading,Link,isResult,isMaybe
VM fodbold,Portugisiske stjerner raser over dommervalg,"Pepé og Bruno Fernandes kan ikke forstå, at det var argentinske dommere, der var sat til at dømme kampen",,,
VM fodbold,"- Havde han gjort, hvad han skulle, var han blevet en større skurk, siger dommerekspert",Dommerekspert Kenn Hansen giver sit syn på Mateu Lahoz' dommerpræstation i VM-kvartfinalen mellem Holland og Argentina,,,
VM fodbold,Den gule trøje skal samle et splittet Brasilien,TV 2 SPORTs fodboldkommentator Flemming Toft ser nærmere på Brasiliens ikoniske spilletrøje,,,
VM fodbold,Nu får dramatisk kvartfinale konsekvenser,"FIFA kommer til at kigge nærmere på Argentinas møde med Holland ved VM, hvor der blev uddelt 18 gule kort",,,
VM fodbold,"Fransk kaptajn grinte, da han blev udpeget som svageste led",Britiske medier har udnævnt Hugo Lloris som det svage led hos Frankrig. Målmanden kunne ikke andet end at grine af det,,,
VM fodbold,"Ærlig Hjulmand åbnede op - nu fortryder han, at han ikke sagde fra",I et længere interview med TV 2 SPORT evaluerer landstræner Kasper Hjulmand på VM-slutrunden. Et bestemt pressemøde nager stadig over to uger efter,,,
VM fodbold,Hjulmand gennemgår VM i stort interview: - Der er ingen hellige køer,"Landstræner Kasper Hjulmand er ""megairriteret og træt af det"" efter VM-slutrunden, hvor Danmark sluttede sidst i gruppespillet",,,
VM fodbold,Modstander med Ronaldo-håb inden kvartfinale,"Er Portugal bedst med eller uden Cristiano Ronaldo på banen? Deres kvartfinalemodstanders landstræner, Walid Regragui, er ikke i tvivl",,,
VM fodbold,Argentinsk profil forklarer hånlig jubelscene,"Nicolás Otamendi siger, at flere hollændere provokerede de argentinske straffesparksskytter, da de skulle gå frem til 11 meter-pletten",,,
VM fodbold,"""Ingen gider at have Ronaldo"" - her startede nedturen","Cristiano Ronaldo er lige nu ingenmandsland. Han er klubløs, mens han for første gang siden 2008 ikke starter inde i Portugals betydende landskampe",,,
VM fodbold,Neuer brækker benet i skiulykke - er færdig for sæsonen,Efter at have brækket benet i en skiulykke er den tyske målmand Manuel Neuer færdig for sæsonen,,,
VM fodbold,Morten Bruun: Engle med beskidte ansigter,"Jeg har ikke sovet hele natten, fordi det samme spørgsmål blev ved med at køre rundt mit hoved: Kan jeg elske dette skamløse, argentinske landshold?",,,
VM fodbold,"Oprevet Messi efter VM-kvartfinale: - Hvad glor du på, fjols?",Lionel Messi formåede for en sjælden gang ikke at bevare fatningen under et interview,,,
VM fodbold,VM-drama overgår ikke 'massakren' i 2006: - Det var fodboldvold,"Tæller vi kun antal gule kort. Ja, så er 18 ikke set før i en VM-kamp, men der er alligevel én kamp, der overgår dramaet mellem Holland og Argentina",,,
VM fodbold,Baneløber: - Jeg brækkede benet,Fredagens VM-kvartfinale mellem Holland og Argentina blev kortvarigt afbrudt af en kendt baneløber,,,
VM fodbold,Har udkonkurreret fodboldlegender,"Kylian Mbappé har timet formen perfekt til VM og er aktuelt verdens bedste fodboldspiller, mener TV 2s eksperter",,,
VM fodbold,Den anerkendte journalist Grant Wahl er død efter kollaps under VM,"Grant Wahl dækkede Holland-Argentina, da han pludselig faldt tilbage på sit sæde. Han er efterfølgende erklæret død",,,
VM fodbold,Det så du ikke på tv: Argentinsk hån fremprovokerede rødt kort,I sekunderne efter afslutningen på VM-dramaet mellem Holland og Argentina løb flere af de argentinske spillere lige forbi hollænderne og hoverede,,,
VM fodbold,Messi raser efter VM-brag,"Lionel Messi mener ikke, at dommer Mateu Lahoz havde evnerne til at dømme en VM-kvartfinale",,,
VM fodbold,"- Alt står stille nu. Ingen forstår, hvad der sker","Folket i Brasilien vil kræve ændringer omkring landsholdet, men optimismen lever videre, forudser brasiliansk journalist",,,
VM fodbold,Kæmpe tumult i stort VM-drama,De hollandske spillere var mere end bare utilfredse med Leandro Paredes' opførsel i VM-kvartfinalen,,,
