Category,Headline,SubHeading,Link,isResult,isMaybe
VM fodbold,Tite stopper - og bliver mødt af hård kritik,"Kritikken hagler ned over Tite, men Brasiliens afgående landstræner forsvarer sig selv efter deroute ved VM",,,
VM fodbold,Her tangerer Neymar historisk rekord,Neymar har nu scoret 77 mål for Brasiliens landshold og tangerer dermed Pelés rekord,,,
VM fodbold,Denne aktion provokerer ekspert: - Gider vi ikke at se,"Brasilianske Antony forsøgte at få sig et frispark i kvartfinalen mod Kroatien. Ekspert Peter Graulund mener dog, at han burde have fået et gult kort",,,
VM fodbold,Pludselig blev markedsplads i Qatar omdannet til vild folkefest,"Kærligheden til holdet, landet, Messi og Maradona var hverken til at overse eller overhøre, da argentinske fodboldfans torsdag mødtes",,,
VM fodbold,Portugals landstræner med opråb efter Ronaldo-rygter,"Portugals landstræner, Fernando Santos, gik imod sit princip og fortalte Cristiano Ronaldo om bænkpladsen, før de andre spillere fik det at vide",,,
VM fodbold,FIFA afviste Qatars anmodning,Qatar og flere andre arabiske lande fik også afvist deres ønske om at spille med et specielt anførerbind ved VM-slutrunden,,,
VM fodbold,Eksperten vurderer: Her er hver nations chance for at vinde VM,"Otte nationer er klar til VM-kvartfinalerne. TV 2 SPORTs fodboldekspert Mads Junker vurderer, hvad der taler for og imod hver nations chance",,,
VM fodbold,FIFA-chef: - Et vinter-VM fungerer,Ifølge FIFA's chef for global fodboldudvikling kan et VM om vinteren sagtens komme på tale igen,,,
VM fodbold,"- Jeg vil ikke se mine spillere gøre det, siger kroatisk landstræner","Kroatiens landstræner, Zlatko Dalic, respekterer Brasiliens trang til at danse. Han ønsker bare ikke at se sine egne spillere gøre det",,,
VM fodbold,Forklarer fravalg af stjerne,"Paulo Dybala var skadet op til VM, men er klar til at spille, siger Argentinas landstræner",,,
VM fodbold,Eksperter ser helt forskelligt på kvartfinale,Kroatien og Brasilien mødes i VM-slutrundens første kvartfinale. TV 2-eksperter har meget forskellige forventninger til kampen,,,
VM fodbold,"Her er fodboldens største nation, som aldrig har vundet VM","Holland er den nation, der har været i flest VM-finaler uden at vinde fodboldens mest prestigefyldte trofæ",,,
VM fodbold,Hollandsk træner deler vandene - snart kan det være slut,"Louis van Gaal skal fredag forsøge at føre Holland forbi Argentina. Taber hollænderne, kan det være afslutningen på en gloværdig trænerkarriere",,,
VM fodbold,England har forberedt sig på Frankrig i to år,"Især Kylian Mbappé og spørgsmålet om, hvordan man stopper ham, har fyldt i den engelske lejr",,,
VM fodbold,Udpeg en verdensmester - og gå all in,Her kan du få tips til femte runde af VM-managerspillet på Holdet.dk,,,
VM fodbold,Brasilien topper ekspertens powerranking inden kvartfinalerne,Nederst i artiklen kan du selv rangere de otte kvartfinalehold,,,
VM fodbold,VM-chef får hård kritik efter kommentar om migrantarbejders dødsfald,"Nasser Al-Khater mener ikke, at journalister bør spørge ind til migrantarbejderens dødfald, mens VM-slutrunden er i gang",,,
VM fodbold,Holland vil udnytte Messi-svaghed,"Den hollandske landstræner Louis van Gaal hylder Messis offensive kvaliteter, men han mener, at han har en afgørende svaghed",,,
VM fodbold,Holland kan udbygge spøjs VM-rekord mod Argentina,"De har ved dette VM spillet sig til en rekord, der bliver svær at slå, og fredag kan Holland udbygge den mod Argentina i VM-kvartfinalen",,,
VM fodbold,"Stjerne knækker sammen af grin, da landstræner svarer på kritisk spørgsmål","Angel Di Maria har kaldt den hollandske landstræner for den værste træner, han nogensinde har spillet for. Det var et tema på torsdagens pressemøde",,,
VM fodbold,Nu reagerer Ronaldo på historier,Cristiano Ronaldo har været et af de helt store samtaleemner de seneste dage ved VM,,,
VM fodbold,For disse spillere er semifinalen i fare,21 spillere går ind til VM-kvartfinalerne med en lille plet på samvittigheden,,,
VM fodbold,"Da journalist rettede budskab mod podiet, begyndte salen at klappe",Forholdet mellem dele af den brasilianske sportspresse og det brasilianske fodboldlandshold har været udfordret på det seneste,,,
VM fodbold,Nej tak til VM med 48 hold - det giver store problemer,Den forestående udvidelse vil udvande både kvalifikationsturneringen og slutrunden og skabe et håbløst turneringsformat,,,
VM fodbold,Luis Enrique færdig som spansk landstræner,Efter nedturen ved VM stopper Luis Enrique og giver stafetten videre til U21-landstræner Luis de la Fuente,,,
VM fodbold,Truede Ronaldo med at forlade VM? Nu reagerer forbundet,"Torsdag skriver det portugisiske medie Record, at Cristiano Ronaldo har truet med at forlade VM-lejren, efter han blev bænket i 1/8-finalen",,,
VM fodbold,Sterling vender tilbage,"England får atter glæde af Raheem Sterling, som kortvarigt har været hjemme ved familien efter et hjemmerøveri",,,
VM fodbold,Brasiliansk stjerne svarer igen på legendes hårde angreb,"Vinicius Junior forsikrer, at de brasilianske stjerner stadig har flere jubelscener klar i ærmet, når de skal forsøge at danse sig i VM-semifinalen",,,
VM fodbold,Infantino lovpriser VM - ekspert forstår det ikke helt,FIFA-præsident Gianni Infantino stempler gruppespillet ved VM 2022 som det bedste nogensinde,,,
VM fodbold,"Fem ikoniske VM-kvartfinaler, vi aldrig glemmer",Kvartfinalerne til VM er garanti for magi. Hvem kan for eksempel glemme Maradonas to mål mod England i 1986?,,,
VM fodbold,Ingen præsident på storskærm og farvel til fyrværkeri og kæmpe VM-pokal,"Mens banerne i Doha bliver mere og mere medtagede, har VM-arrangøren skrottet den store model af VM-pokalen i midtercirklen før kampene",,,
VM fodbold,Qatars målsætning ser urealistisk ud,"Der skal virkelig fart over feltet, hvis Qatar skal nå de 1,2 millioner besøgende under VM, som forventedes",,,
VM fodbold,Skal Ronaldo bænkes igen? Landstræner med kryptisk svar,"Et af de store spørgsmål før Portugals kvartfinalemøde med Marokko er, om hattrickhelten Goncalo Ramos igen skubber Cristiano Ronaldo ud på bænken",,,
VM fodbold,"- Det er respektløst, siger hollandsk stjerne","Virgil van Dijk købte ikke præmissen om, at Holland ikke har mødt ""gode"" hold ved VM indtil nu",,,
VM fodbold,Engelsk stjerne svarer kontant på Mbappé-spørgsmål,England møder Frankrig i VM-kvartfinalen lørdag. Inden opgøret er der stort fokus på franskmændenes helt store stjerne,,,
VM fodbold,Migrantarbejder mister livet i ulykke på VM-resort,"En migrantarbejder fra Filippinerne er død efter en ulykke på et resort i Qatar, skriver The Athletic",,,
VM fodbold,Angriber gik fra hattrick mod FCM til hattrick ved VM,"Fortællingen om Goncalo Ramos har udspring i et møde med FC Midtjylland, som han nedlagde med et hattrick. Præcis som han gjorde det til VM tirsdag",,,
VM fodbold,VM-nation får stor bøde,"Serbien, Kroatien og Saudi-Arabien har alle fået bøder for forseelser begået under VM i fodbold",,,
VM fodbold,Så du det? Stjerne forlod holdkammerater under jubel,"Manchester Citys Bernardo Silva var kun kortvarigt med i jubelscenen ved føringsmålet, inden han skyndte sig at løbe ind på banen igen",,,
VM fodbold,Engelsk profil fraværende før VM-brag,Declan Rice missede Englands træning onsdag på grund af sygdom. Lørdag skal England spille VM-kvartfinale mod Frankrig,,,
VM fodbold,Ja tak til 48 hold ved VM - to kontinenter er groft underrepræsenteret,Fodboldekspert Morten Bruun hilser den kritiserede udvidelse af VM velkommen,,,
VM fodbold,Brasiliansk VM-profil opereret,Gabriel Jesus var med i alle Brasiliens gruppekampe. Nu meldes han ude i tre måneder,,,
VM fodbold,Ronaldos søster og forlovede med hård kritik,Både søsteren og kæresten langer ud efter Portugals landstræner Fernando Santos,,,
VM fodbold,"Adopterer qatarsk kat, hvis England vinder VM","Der er god stemning i den engelske landsholdslejr, hvor Kyle Walker og John Stones har fået en ny ""kammerat""",,,
VM fodbold,Ronaldos afløser: - Han forsøger altid at hjælpe,"Goncalo Ramos scorede tre mål, da han for første gang startede inde for det portugisiske landshold",,,
VM fodbold,Her er de fire VM-kvartfinaler,Der er fem europæiske hold blandt de otte tilbageværende ved VM. Kvartfinalerne spilles fredag og lørdag,,,
VM fodbold,"Landstræner forklarer, hvorfor Ronaldo blev bænket","Portugal beviste i VM-ottendedelsfinalen mod Schweiz, at de er klar til tiden efter Cristiano Ronaldo",,,
VM fodbold,Holdkammerat afslører Ronaldos reaktion på bænkplads,For første gang siden 2006 startede Cristiano Ronaldo ikke på banen for Portugal ved VM,,,
VM fodbold,"26-årig marokkaner brød ud i gråd, da hans land skrev historie","For 26-årige Anas Rharbal gik en livslang drøm i opfyldelse, da Marokko tirsdag aften skrev VM-historie",,,
VM fodbold,Spøjs situation fik ekspert til at bryde ud i grin,Abdelhamid Sabiri forsøgte sig med en speciel afslutning undervejs i 1/8-finalen mod Spanien ved VM,,,
VM fodbold,Ronaldo smidt på bænken til gyser,Landstræner Fernando Santos har valgt en startopstilling uden den 37-årige stjerneangriber,,,
VM fodbold,Nu undskylder Eto'o for voldeligt optrin,"Samuel Eto'o er blevet anmeldt for episoden, han nu undskylder for",,,
VM fodbold,Journalister ryster på hovedet ad legendes raserianfald,Brasiliens trang til at danse har medført kritik fra legenden Roy Keane. Det er de ligeglade med i det fodboldgale land,,,
VM fodbold,Engelske spillere undrer sig - er banerne malede?,Specielt i Englands opgør mod Senegal i ottendedelsfinalen var der grønne afmærkninger på flere af spillertrøjerne,,,
VM fodbold,Nu skal VM-stadion i Qatar pilles ned,"Det specielle containerstadion skal nu skilles ad, før delene sendes til udviklingslande",,,
VM fodbold,Blev sparket af legende under VM - nu forklarer han sig,41-årige Samuel Eto'o er blevet anmeldt for vold efter en voldsom episode ude foran 'Stadion 974' i Qatar,,,
VM fodbold,VM-træner fremhæver afgørende handling fra indskiftet spiller,"Kroatiens landstræner, Zlatko Dali?, mener ikke, at det er en tilfældighed, at kroaterne har været gode til at sparke straffespark",,,
VM fodbold,Landstræner med svada mod arabiske og afrikanske medier,Marokkos landstræner kom med en indtrængende opfordring til afrikanske og arabiske medier inden ottendedelsfinalen,,,
VM fodbold,Brasiliansk straffespark forarger dommerekspert,"Dommer Clément Turpin var ikke i tvivl, og han blæste uden tøven i fløjten. Det burde han ikke have gjort ifølge den tidligere topdommer Kenn Hansen",,,
VM fodbold,Samuel Eto'o sparker mand ned foran VM-stadion,"41-årige Samuel Eto'o, der har en fortid i storklubber som FC Barcelona, Inter og Chelsea, er i dag præsident for Camerouns fodboldforbund",,,
VM fodbold,Eksperter hylder stortalent - sammenlignes med Daniel Agger,"Den 20-årige kroat bliver spået en stor fremtid, og han er også yderst eftertragtet rundt omkring i Europa",,,
VM fodbold,"- Det er respektløst, siger legende om Brasilien","De brasilianske spillere er kendt for deres karakteristiske jubelscener, men de falder ikke i god jord alle steder",,,
VM fodbold,Hylder Pelé efter VM-opvisning,"De brasilianske spillere sender kærlige tanker til Pelé, der lige nu er indlagt",,,
VM fodbold,Sydkoreas landstræner stopper efter VM-exit,"Paulo Bento besluttede allerede i september, at han ville stoppe efter VM-slutrunden",,,
VM fodbold,Tysk landsholdschef fyret efter fiasko,Oliver Bierhoff er efter 18 år færdig som landsholdsdirektør i Tysklands Fodboldforbund,,,
VM fodbold,"- Det har været mere kompliceret end før, siger letpåklædt VM-fan","Den kroatiske fodboldfan Ivana Knöll fortæller, at hun endnu ikke er havnet i problemer for sin påklædning, som har vakt opsigt under VM i Qatar",,,
VM fodbold,"Landstræneren dansede med, da Brasilien holdt legestue","Brasiliens VM-favoritter holdt sig slet ikke tilbage, da de efter en sublim første halvleg spillede sig videre til kvartfinalen",,,
VM fodbold,Kroatisk helt forklarer hemmeligheden bag vitale redninger,"Dominik Livakovic blev kampens spiller, efter han tog tre ud af fire japanske forsøg i straffesparkskonkurrencen",,,
VM fodbold,Ekspert får gåsehud af brasiliansk halvleg,"Brasilien har spillet det bedste fodbold, som fodboldekspert Kasper Lorentzen har set ved dette VM, i første halvleg mod Sydkorea",,,
VM fodbold,Neymar-dobbeltgænger tager fusen på VM-fans i Qatar,"Eigon Oliver ligner Neymar meget. Så meget, at folk tager fejl af dem",,,
VM fodbold,Kroatien videre efter straffedrama,Japan misbrugte tre af spillets største chancer,,,
VM fodbold,FIFA afviser fransk protest,"Resultatet af VM-kampen mellem Tunesien og Frankrig skal stå ved magt, har FIFA afgjort",,,
VM fodbold,"Ronaldo er fokuseret på VM, slår landstræner fast","Fernando Santos var uvidende om Cristiano Ronaldos forestående skifte til saudiarabisk fodbold, indtil han læste Marca mandag, lod han pressen forstå",,,
VM fodbold,Rasende uruguayanere risikerer straf efter hidsigt exit,Fire spillere og Uruguays fodboldforbund undersøges af Fifa efter fredagens nedtur ved VM i Qatar,,,
VM fodbold,Landstræner ligeglad med Ronaldo-afstemning,"Resultatet af afstemningen om Ronaldo er markant, mener portugisisk journalist",,,
VM fodbold,"Brasiliens landstræner blev rørt og beklagede, da han fik spørgsmål fra TV 2","Den brasilianske landstræner, Tite, undskyldte, fordi han ikke indledte sit pressemøde med at tale om sygdomsramte Pelé",,,
VM fodbold,Medie: Her er Ronaldos nye klub,"Meget tyder på, at Cristiano Ronaldo fortsætter fodboldkarrieren uden for Europa",,,
VM fodbold,Stjernes straffespark vækker opsigt hos legende,Robert Lewandowski reducerede til 1-3 på straffespark søndag i tillægstiden mod Frankrig. Efterfølgende har polakkens teknik været i centrum,,,
VM fodbold,"Her er årsagerne til, at VM-bolden er historisk","Et nyt VM betyder en ny VM-bold. I programmet 'Bag bolden' går TV 2 SPORT i dybden med den nyeste af slagsen, Al Rihla",,,
VM fodbold,"- Jeg gider ikke høre på de her grimme løgne, siger landstræner","Forud for 1/8-finalen mod Sydkorea retter den brasilianske landstræner Tite skarp kritik mod rygterne om, at han har brugt en skadet spiller",,,
VM fodbold,Stjernekeeper retter stor kritik efter speciel situation,"Den franske landsholdskeeper Hugo Lloris var bestemt ikke tilfreds med, at Lewandowski fik lov til at tage sit straffespark om",,,
VM fodbold,Mbappé har fået flere bøder - og han er ligeglad,"Kylian Mbappé har imponeret under VM, hvor han har scoret fem gange. Det har tiltrukket massiv interesse, men først nu stiller han sig til rådighed",,,
VM fodbold,"Stortalent holdt sig pludselig for ørerne, da Henderson talte",Det engelske stortalent Jude Bellingham modtager store roser for sin pragtkamp i 1/8-finalen mod Senegal ved VM,,,
VM fodbold,Hånligt tweet overrasker ikke tidligere træner: - Hans mentalitet er vanvittig,"Fodboldekspert Mads Junker forudser, at Kamil Grabaras opførsel kommer til at bide ham i røven på et tidspunkt i fremtiden",,,
VM fodbold,"- Ulovligt og vores fejl, siger landstræner om profils regelbrud",Jules Koundé nåede at spillede 42 minutter af søndagens VM-kamp med en stor guldkæde om halsen,,,
VM fodbold,Medier: Engelsk stjerne rejser hjem efter væbnet hjemmerøveri,"Det er endnu uvist, om han vender tilbage til landsholdslejren",,,
VM fodbold,Hylder holdkammerat: - Han bliver verdens bedste,"Jude Bellingham satte gang i England mod Senegal, og nu modtager han vild ros fra holdkammerat",,,
VM fodbold,"Grusom tragedie ramte VM-træner, der i dag ""brøler som en løve""",For 20 år siden mistede Aliou Cisse 11 familiemedlemmer i en færgeulykke. I dag betragtes han nationalhelt og står i spidsen for Senegals landshold,,,
VM fodbold,Homoseksuel i Qatar til TV 2: - Man må leve i skyggen,"I Qatar kan det straffes med op til syv års fængsel at være homoseksuel, og det gør livet svært for LGBT-personer",,,
VM fodbold,FCK-stjerne efter hånligt tweet: - Kommer ikke til at snakke med dig,"Kamil Grabara havde ikke lyst til at kommentere sit omtalte tweet, efter Polen søndag var røget ud af VM",,,
VM fodbold,Nu reagerer Schmeichel: - Det er brænde til bålet,"Landsholdsmålmanden tror på, at truppen rejser sig efter det skuffende resultat ved verdensmesterskabet",,,
VM fodbold,Fransk stjerne brød klar regel - først efter 42 minutter opdagede dommerne det,"Reglerne foreskriver, at spillerne skal kontrolleres for farligt udstyr eller smykker inden kampstart",,,
VM fodbold,OB-spiller ventede på Messi,Lionel Messi sendte Australien ud af VM. Efter kampen stod de australske spillere dog klar til at få taget billeder med den argentinske troldmand,,,
VM fodbold,City-stjerne skuffet over manglende spilletid ved VM,"Phil Foden er en af de største stjerner i Manchester City, men på det engelske landshold halter det med spilletiden",,,
VM fodbold,FCK-ballade går verden rundt,"Udlandet har bemærket kontroversen mellem de to målmænd fra FCK, Mathew Ryan og Kamil Grabara",,,
VM fodbold,Stemningen til VM-kamp forbavser kommentatorer,"Spillerne fra de to hold bemærkede ikke den flade stemning, da TV 2 SPORT spurgte ind til lydkulissen",,,
VM fodbold,VM-spiller går viralt - og det er ikke for fodbolden,"Antallet af folk, der følger Cho Gue-sung på Instagram, er eksploderet",,,
VM fodbold,Argentinske medier i svime over Messi,Superstjerne. En af sine bedste præstationer ved et VM. Et fænomen. Beskrivelserne af Lionel Messi er mange,,,
VM fodbold,Nu reagerer FCK-keeper på holdkammeratens hån,"Det overrasker ikke Mathew Ryan, at hans holdkammerat Kamil Grabara sendte en stikpille hans vej",,,
VM fodbold,Qatar-værtskab får danskerne til at se mindre VM,"Placeringen i Qatar har fået flere danske tv-seere til at se mindre fodbold-VM denne gang, svarer de i måling",,,
VM fodbold,Landstræner kysser spiller på pressemøde,"Der var amoriner i luften, da Louis van Gaal nok en gang stjal rampelyset ved et pressemøde",,,
VM fodbold,Ekspert begriber ikke FCK-keepers behov: - Det krydser fuldstændig grænsen,"Fodboldekspert Peter Graulund forstår ikke, at Kamil Grabara har behov for at sparke bagud mod en klubkammerat",,,
VM fodbold,FCK-keeper håner sin holdkammerat efter VM-brøler,"Kamil Grabara stikker til sin målmandskollega i FCK, Mathew Ryan, efter en stor fejl fra den australske keeper ved VM lørdag aften",,,
VM fodbold,"Messi rundede milepæl, da Argentina spillede sig i kvartfinalen","Lionel Messi spillede en stor rolle, da han i sin professionelle kamp nummer 1000 var med til at sende Argentina videre til VM-kvartfinalen",,,
VM fodbold,Her scorer Messi i kamp nummer 1000,Den argentinske troldmand bragte Argentina foran i opgøret mod Australien,,,
VM fodbold,"Selv når de vinder, får Hollands stjerner kritik i hjemlandet","Hollands landsholds talkombinationer og spillestil er ikke noget, alle i landet holder af",,,
VM fodbold,Stjernebrødre lod sig udskifte i pausen efter chokerende nyhed,"Ghana-stjernen André Ayew hastede på hospitalet efter VM-kampen mod Uruguay, da hans datter kollapsede på tribunen. Hun har det godt igen",,,
VM fodbold,"- Jeg er 57 år og har aldrig set et mål som det der, siger Morten Bruun","USA's reducering til 1-2 mod Holland var et af de mål, som fik fodboldekspert Morten Bruun til at spærre øjnene op",,,
VM fodbold,Landstræner syg før 1/8-finale mod England,"Aliou Cissé er ramt af feber, men Senegals landstræner forventes klar til søndagens opgør mod England",,,
VM fodbold,Landstræner kalder stjernes udtalelse for uklog,Memphis Depay foretrækker at spille sammen med Steven Bergwijn,,,
VM fodbold,"VM er det ultimative udstillingsvindue - her er de nye stjerner, du skal kende","TV 2 SPORTs fodboldekspert Jonas Hebo giver sit bud på de unge spillere, der er værd at holde øje med i knockoutfasen ved VM",,,
VM fodbold,VM-nationer reagerer på ond stemning,Hverken Serbien eller Schweiz lægger noget særligt i tumulten under kampen,,,
VM fodbold,To brasilianere ude af VM,"Både Gabriel Jesus og Alex Telles er blevet skadet og er ude af VM, bekræfter Brasiliens fodboldforbund",,,
VM fodbold,Analysefirma udpeger: Disse hold kommer i VM-finalen,"Brasilien er stadig favoritter til at vinde VM, men deres favoritværdighed er dalet, konkluderer analysefirma",,,
VM fodbold,Messi runder utrolig milepæl ved VM,"Lionel Messi spiller sin gældende kamp nummer 1000 på topniveau, når Argentina møder Australien lørdag",,,
VM fodbold,Tysklands VM-trup gjort til grin på tv-kanal i Qatar,Qatarske fodboldeksperter sendte Tyskland hjem fra VM med en slet skjult hentydning til landsholdets protest,,,
VM fodbold,"Syv danskere kan have spillet karrierens sidste VM, mener ekspert",Syv spillere fra Danmarks VM-trup er i fare for at have spillet karrierens sidste verdensmesterskab,,,
VM fodbold,Ingen vil spille i nummer 24 i Brasilien - fredag skete det,Nummer 24 bliver i Brasilien forbundet med homoseksuelle. Derfor har flere undgået at spille med nummeret,,,
VM fodbold,"Særligt Maradona-minde dukkede op, da australsk landstræner sad i bilen","Lørdag aften mødes Australien og Argentina. Et opgør, som australiernes landstræner, Graham Arnold, tidligere har været en del af",,,
VM fodbold,Spillerne kan tabe flere kilo i timen i Qatar,"De danske spillere tabte 3,6 kilo i gennemsnit, da de spillede i Baku ved EM sidste år. Det var under samme temperaturer, som vi ser i Qatar lige nu",,,
VM fodbold,Stjerne sendte hyldest - tolkes som voldsom provokation,"Der var ond stemning mellem Serbien og Schweiz i sidste runde af gruppespillet, hvor schweizerne spillede sig videre ved verdensmesterskabet",,,
VM fodbold,Brasilien får hård kritik af eksperter,"Samtidig kan det blive nemmere at sætte holdet næste gang, mener David Nielsen",,,
VM fodbold,"- Jeg bad ham holde kæft. Han har ingen autoritet, siger Ronaldo om vredesudbrud","I forbindelse med sin udskiftning blev Cristiano Ronaldo sur på en sydkoreansk spiller, der bad portugiserne skynde sig ud af banen",,,
VM fodbold,Nu kan du for alvor tage kvantespring,Her kan du få dugfriske tips til fjerde runde af VM-managerspillet på Holdet.dk,,,
VM fodbold,Drama afgør sidste gruppe - nu er alle ottendedelsfinaler på plads,"Brasilien og Schweiz sluttede som nummer et og to i Gruppe G, og dermed er de 16 hold til knockoutfasen ved VM fundet",,,
VM fodbold,"12 år langt had blev bekræftet, da knust Suarez blev vist på storskærmen",12 og et halvt år efter den skandaløse kamp ved VM i Sydafrika blev endnu et vanvittigt kapitel til fortællingen om Ghana mod Uruguay skrevet,,,
VM fodbold,Vild eufori og utallige tårer efter VM-sensation,"De sydkoreanske spillere kunne næsten ikke tro deres egne øjne, da det store comeback sendte dem videre fra VM-gruppespillet",,,
VM fodbold,"Måtte flygte ud: - Det er uværdigt, siger dommerekspert","Tidligere topdommer Kenn Hansen vurderer, at scenerne efter kampen mellem Ghana og Uruguay kan få konsekvenser",,,
VM fodbold,FIFA forklarer vital VAR-scoring,"Scoringen fik indflydelse på den samlede stilling i gruppe E, hvor Tyskland og Costa Rica røg ud",,,
VM fodbold,Fandt dansk seddel - nu reagerer australsk landstræner,"Australiens landstræner blev bekræftet i, at Danmark ikke havde en klar plan, da de fandt en sammenkrøllet seddel på banen",,,
VM fodbold,Fodboldkommentator sagde det forbudte navn og blev pillet af skærmen i pausen,"Tyrkiske medier kobler det pludselige fravær fra skærmen med benævnelsen af tidligere topspiller. Selv afviser han rygter om, at han er blevet fyret",,,
VM fodbold,"Billedet efter Australiens mål skal der snakkes om, siger Hjulmand","Kasper Hjulmand vil undersøge, hvorfor holdet som enhed svigtede i onsdagens afgørende VM-kamp",,,
VM fodbold,"- Hold nu op, det er jo latterligt, griner ekspert","TV 2 SPORTs fodboldekspert Morten Bruun måtte le, da spillere fra Belgien appellerede for et indirekte frispark i kampen mod Kroatien",,,
VM fodbold,I kampen mod Danmark fandt australier en sammenkrøllet seddel,En australsk spiller samlede en seddel op og løb ud til landstræneren med den,,,
VM fodbold,Ekspert forarget over eks-landstræners udtalelse,"TV 2 SPORTs fodboldekspert mener ikke, at Belgien har ret meget at være tilfredse med efter VM-fadæsen",,,
VM fodbold,92 års ventetid på kvindelig VM-dommer er forbi,Som den første hoveddommer ved et herre-VM dømte Stéphanie Frappart kampen mellem Tyskland og Costa Rica,,,
VM fodbold,Blev lagt for had i et helt kontinent - vil stadig ikke undskylde 12 år senere,Fredag mødes Ghana og Uruguay ved VM-slutrunden I Qatar. Begge nationer har mulighed for at gå videre til knockoutfasen,,,
VM fodbold,Landsholdet ankom i al stilhed til Københavns Lufthavn,Ingen fans havde besværet sig med at tage turen til Kastrup,,,
VM fodbold,Morten Bruun svarede på jeres spørgsmål - se svarene her,"TV 2 SPORT har udvalgt en række spørgsmål, der blev stillet i en livechat med fodboldekspert Morten Bruun efter Danmarks VM-fiasko",,,
VM fodbold,"Nogle vidste det, andre gjorde ikke: - En skam at stoppe på den måde","Ikke alle var klar over, at Roberto Martinez havde besluttet sig for ikke at forlænge sin kontrakt med det belgiske landshold",,,
