Mauretanien,,mauretansk,,"arabisk, fransk",mauretanier
Mauritius,,mauritisk,,"engelsk, fransk og kreolsk",mauritier
Mexico,,mexicansk,,spansk,mexicaner
Mikronesien,"Mikronesiens Forenede Stater, Føderale statsforbund Mikronesien",mikronesisk,,,mikroneser
Moldova,,moldivisk,,,moldover
Monaco,,monegasker,,fransk,monegaskisk
Mongoliet,,mongolsk,,,mongol
Montenegro,,montenegrinsk,,,montenegriner
Mozambique,,mozambiquisk,,portugisisk,mozambiquer
Myanmar,Burma hed det tidligere,myanmarsk,,,myanmarer
Namibia,,namibisk,,engelsk,namibier
Nauru,,naurisk,,naurisk og engelsk,nauruer
Nederlandske Antiller,Nederlandske Antiller (Amerika) ???,,,,
Nepal,,nepalesisk,,nepalesisk,nepaleser
New Zealand,,newzealandsk,,engelsk og maori,newzealænder
Nicaragua,,nicaraguansk,,spansk,nicaraguaner
Niger,,nigersk,,fransk,nigerer
Nigeria,,nigeriansk,,engelsk,nigerianer
Niue,,,,niueansk,
Nordkorea,Den Demokratiske Folkerepublik Korea,nordkoreansk,,koreansk,nordkoreaner
Norge,,norsk,,bokmål og nynorsk,nordmand
Oman,,omansk,,arabisk,omaner
Pakistan,,pakistansk,,urdu,pakistaner
Palau,,,,,
Palæstinensisk Selvstyreområde,De Palæstinensiske Selvstyreområder - tidligere en del af det historiske Palæstina,palæstinensisk,,,palæstinenser
Panama,,panamansk,,spansk og chibcha,panamaner
Papua Ny Guinea,,papuansk,,,papuaner
Paraguay,,paraguayansk (el. paraguaysk),,spansk og guarani,paraguayaner (el. paraguayer)
Peru,,peruviansk (el. peruansk),,spansk og quechua,peruvianer (el. peruaner)
Pitcairn,,,,,
Polen,,polsk,,polsk,polak
Portugal,,portugisisk,,portugisisk,portugiser
Puerto Rico,,puertoricansk,,,puertoricaner
Qatar,,qatarsk,,arabisk,qatarer
Rumænien,,rumænsk,,,rumæner
Rusland,,russisk,,russisk,russer
Rwanda,,rwandisk,,,rwander
Saint Kitts and Nevis,,,,,
Saint Lucia,,,,,
Saint Vincent og Grenadinerne,,,,,
Salomonøerne,,salomonisk,,,
Samoa,Den uafhængige stat Vestsamoa hedder nu Samoa - * Samoa - vestlige del af Samoa-øgruppen (den østlige del hedder Amerikansk Samoa),samoansk,,,samoaner
San Marino,,sanmarinesisk,,italiensk,sanmarineser
São Tomé og Príncipe,,,,,
Saudi-Arabien,,saudiarabisk,,arabisk,saudiaraber
Schweiz,Før 2012 også: Svejts,schweizisk,,"tysk, fransk, italiensk og rætoromansk",schweizer
Senegal,,senegalesisk,,,senegaleser
Serbien,Serbien og Montenegro,serbisk,,,serber
Seychellerne,,seychellisk,,,seycheller
Sierra Leone,,sierraleonsk,,,sierraleoner
Singapore,,singaporeansk,,,singaporeaner
Slovakiet,Den Slovakiske Republik,slovakisk,,,slovak
Slovenien,,slovensk,,,slovener
Somalia,Tidl.: Engelsk Somaliland og Italiensk Somaliland,somalisk,,somalisk og arabisk,somalier
Spanien,,spansk,,spansk,spanier (el. spaniol)
Sri Lanka,Ceylon hed det tidligere,srilankansk,ceylonesisk,Singhalesisk eller sinhala er det officielle sprog. Tamilsk er det næst mest talte sprog. Engelsk beherskes af næsten alle indbyggere.,srilankaner tidl. ceyloneser
Storbritannien,"Forenede Kongerige Storbritannien og Nordirland, Forenede Kongerige, England",britisk,,"engelsk, walisisk og gælisk",brite
Sudan,,sudanesisk (el. sudansk),,"arabisk, hamitisk og nilotisk",sudaner (el. sudaneser)
Surinam,"Republikken Surinam, tidligere Hollandsk Guyana",surinamsk,,"nederlandsk, engelsk og sranan tongo",surinamer
Sverige,,svensk,,svensk,svensker
Swaziland,,swazilandsk,,,swazilænder
Sydafrika,,sydafrikansk,,,sydafrikaner
Sydkorea,Republikken Korea,sydkoreansk,,,sydkoreaner
Syrien,,syrisk,,arabisk,syrer
Tadsjikistan,,tadsjikisk,,,tadsjiker
Taiwan,Formosa hed det tidligere. Nu officielt Republikken Kina,taiwansk,,,taiwaner
Tanzania,,tanzaniansk,,,tanzanier
Tchad,Også: Chad,tchadiske,,,tchader
Thailand,Siam hed det tidligere,thailandsk,,,thailænder
Tjekkiet,Den Tjekkiske Republik,tjekkisk,,,tjekke
Tjetjenien,,tjetjensk,,,tjetjener
Togo,,togolesisk,,,togoleser
Tonga,,tongansk,,,tonganer
Trinidad og Tobago,,,,,trinidader
Tunesien,,tunesisk,,arabisk,tuneser
Turkmenistan,,turkmensk,,,turkmener
Tuvalu,Ellice Island hed det tidligere,tuvaluansk,,,tuvaluaner
Tyrkiet,Det Osmanniske Rige,tyrkisk,,,tyrk eller tyrker
Tyskland,,tysk,,tysk,tysker
Uganda,,ugandisk,,,ugander
Ukraine,,ukrainsk,,,ukrainer
Ungarn,,ungarsk,,,ungarer
Uruguay,,uruguayansk (el. uruguaysk),,spansk,uruguayaner (el. uruguayer)
USA,Amerikas Forenede Stater,amerikansk,,engelsk,amerikaner
Usbekistan,,usbekisk,,,usbeker
Vanuatu,,vanuatisk,,,vanuatuer
Vatikanstaten,,vatikansk,,"latin, italiensk",
Venezuela,,venezuelansk,,spansk,venezuelaner
Vestsahara,,,,,
Vietnam,,vietnamesisk,,vietnamesisk,vietnameser
Yemen,,yemenitisk,,arabisk,yemenit
Zambia,,zambisk,,engelsk og bantusprog,zambier
Zimbabwe,,zimbabwisk,,engelsk og bantusprog,zimbabwer
Ækvatorialguinea,,ækvatorialguineansk,,spansk og bantusprog,ækvatorialguineaner
Østrig,,østrigsk,,tysk,østriger
Østtimor,,,,,
